Filename,Test Acc
Offline_kmeans_1.log,0.68147
Offline_kmeans_2.log,0.69127
Offline_kmeans_4.log,0.69778
Offline_kmeans_8.log,0.70301
Offline_kmeans_16.log,0.70675
Offline_kmeans_32.log,0.70895
Offline_kmeans_64.log,0.71032
Offline_kmeans_128.log,0.71200
CMQ_only_online_1.log,0.68147
CMQ_only_online_2.log,0.68959
CMQ_only_online_4.log,0.69515
CMQ_only_online_8.log,0.69996
CMQ_only_online_16.log,0.70255
CMQ_only_online_32.log,0.70533
CMQ_only_online_64.log,0.70830
CMQ_only_online_128.log,0.71090
CMQ_online_hierarchical_1.log,0.68687
CMQ_online_hierarchical_2.log,0.69346
CMQ_online_hierarchical_4.log,0.69908
CMQ_online_hierarchical_8.log,0.70264
CMQ_online_hierarchical_16.log,0.70490
CMQ_online_hierarchical_32.log,0.70760
CMQ_online_hierarchical_64.log,0.71059
CMQ_online_hierarchical_128.log,0.71260
No_inter_nodes.log,0.63067
DWL.log,0.7156416956429301
